"id","url","title","rating","user_rated","chapters","views","bookmarked","last_update"
857,https://www.mgeko.cc/manga/kinzoku-slime-wo-taoshi-makutta-ore-ga-kurokou-no-ou-to-yobareru-made/,Slime Slayer: From Zero To Black Steel King,"4.2","13","9-eng-li","227 K","1.4 K","2 weeks, 2 days"
858,https://www.mgeko.cc/manga/neko-ni-tenseishita-kedo-hima-nano-de-gamer-joshi-to-issho-ni-vrmmo-wo-suru/,"I Got Reincarnated as a Cat, but Since I’m Bored, I Play VRMMOs With Gamer Girls","0.0","0","6-eng-li","84 K","680","4 months, 2 weeks"
859,https://www.mgeko.cc/manga/serving-the-heavens-is-my-destiny/,Serving the Heavens is my Destiny,"0.0","0","8-eng-li","56 K","264","11 months, 3 weeks"
860,https://www.mgeko.cc/manga/you-dont-decrypt-at-all-do-you/,"You Don’t Decrypt At All, Do You?","4.0","1","64-eng-li","258 K","515","5 months"
861,https://www.mgeko.cc/manga/reborn-as-a-big-mouth-flowerreborn-as-a-big-mouth-flower/,Reborn As A Big Mouth Flower,"3.8","6","58-eng-li","558 K","927","1 month, 1 week"
862,https://www.mgeko.cc/manga/i-became-a-sales-prodigy/,I Became a Sales Prodigy,"4.5","11","28-eng-li","291 K","858","4 days, 17 hours"
863,https://www.mgeko.cc/manga/revenge-law-firm/,Revenge Law Firm,"5.0","2","14-eng-li","97 K","319","8 months"
864,https://www.mgeko.cc/manga/genius-corpse-collecting-warrior/,Genius Corpse-Collecting Warrior,"4.2","27","49-eng-li","1.6 M","3.9 K","1 month, 1 week"
865,https://www.mgeko.cc/manga/this-life-starts-as-a-child-actor/,This Life Starts as a Child Actor,"4.5","11","55-eng-li","1.2 M","1.8 K","5 days"
866,https://www.mgeko.cc/manga/i-have-90-billion-licking-gold/,I have 90 billion licking gold,"3.6","82","420-eng-li","7.0 M","2.2 K","21 hours, 14 minutes"
867,https://www.mgeko.cc/manga/I-am-with-the-music-immortals/,I am with the music immortals,"4.4","10","70-eng-li","649 K","1.3 K","23 hours, 11 minutes"
868,https://www.mgeko.cc/manga/creepy-pharmacist-all-my-patients-are-horrific/,Creepy Pharmacist: All My Patients are Horrific,"4.6","11","105-eng-li","882 K","1.4 K","1 month, 1 week"
869,https://www.mgeko.cc/manga/miss-regular-customer-wants-to-enjoy/,Miss Regular Customer Wants to Enjoy,"5.0","3","37-2-eng-li","412 K","456","6 days, 22 hours"
870,https://www.mgeko.cc/manga/im-not-a-regressor/,I’m Not a Regressor,"4.3","8","55-eng-li","1.4 M","3.3 K","1 month, 3 weeks"
871,https://www.mgeko.cc/manga/i-rely-on-my-invincibility-to-deal-tons-of-damage-passively/,I Rely on My Invincibility to Deal Tons of Damage Passively!,"3.8","23","51-eng-li","2.0 M","3.7 K","1 day, 10 hours"
872,https://www.mgeko.cc/manga/surviving-in-a-school-bully-webtoon/,Surviving in A School Bully,"0.0","0","22-eng-li","79 K","273","6 months"
873,https://www.mgeko.cc/manga/becoming-a-legendary-ace-employee/,Becoming A Legendary Ace Employee,"3.8","26","60-eng-li","872 K","1.7 K","1 day, 18 hours"
874,https://www.mgeko.cc/manga/hybrid/,hybrid,"3.0","3","47-eng-li","489 K","1.5 K","1 month, 2 weeks"
875,https://www.mgeko.cc/manga/the-genius-assassin-who-takes-it-all/,The Genius Assassin Who Takes it All,"3.8","49","58-eng-li","2.5 M","5.5 K","18 hours, 20 minutes"
876,https://www.mgeko.cc/manga/metalial-story/,Metalial Story,"5.0","1","10-eng-li","81 K","509","2 months, 4 weeks"
877,https://www.mgeko.cc/manga/kaiju-juese-qiao-shifu-xitong/,The Start of a Stunning and Feisty Master: A System with Ten Pounds of Rebellion,"4.0","16","93-eng-li","864 K","1.5 K","2 days, 8 hours"
878,https://www.mgeko.cc/manga/r2311170/,THE COUNT'S YOUNGEST SON IS A PLAYER,"2.8","77","83-eng-li","3.7 M","5.9 K","6 days, 9 hours"
